category,site,accuracy,precision,recall,f1
auto,aol,0.7499999625000018,0.7499999625000018,0.9999999333333378,0.8571423183676284
auto,autobytel,0.599999976000001,0.9999999333333378,0.599999976000001,0.7499994937502917
auto,automotive,0.5172413614744358,0.6249999739583344,0.7499999625000018,0.6818176549590393
auto,autoweb,0.6666666444444451,0.9999999500000024,0.6666666444444451,0.7999994880002875
auto,carquotes,0.7999999680000013,0.7999999680000013,0.9999999500000024,0.8888883555558311
auto,cars,0.4249999893750003,0.4857142718367351,0.7727272376033073,0.5964907331490367
auto,kbb,0.7999999680000013,0.9999999500000024,0.7999999680000013,0.8888883555558311
auto,motortrend,0.7407407133058995,0.9090908677685968,0.7999999680000013,0.8510632956091655
auto,msn,0.8333333055555564,0.9999999600000016,0.8333333055555564,0.9090903801655607
auto,yahoo,0.6666666444444451,0.6666666444444451,0.9999999500000024,0.7999994880002875
book,abebooks,0.9999999818181822,0.9999999818181822,0.9999999818181822,0.9999994818184321
book,amazon,0.20833333116319447,0.21978021736505257,0.7999999680000013,0.34482724212279936
book,barnesandnoble,0.9249999768750007,0.9249999768750007,0.9999999729729737,0.9610384368361514
book,bookdepository,0.999999958333335,0.999999958333335,0.999999958333335,0.999999458333585
book,booksamillion,0.9687499697265636,0.9687499697265636,0.9999999677419364,0.9841264530110889
book,borders,0.9999999615384629,0.9999999615384629,0.9999999615384629,0.9999994615387128
book,buy,0.999999958333335,0.999999958333335,0.999999958333335,0.999999458333585
book,christianbook,0.8928571109693889,0.8928571109693889,0.9999999600000016,0.9433956924174948
book,deepdiscount,0.9999999795918372,0.9999999795918372,0.9999999795918372,0.9999994795920872
book,waterstones,0.9999999600000016,0.9999999600000016,0.9999999600000016,0.9999994600002514
camera,amazon,0.599999976000001,0.7499999625000018,0.7499999625000018,0.7499994625003352
camera,beachaudio,0.5599999776000009,0.9999999285714337,0.5599999776000009,0.7179482209075906
camera,buy,0.6249999739583344,0.7499999625000018,0.7894736426592819,0.769230230112095
camera,compsource,0.428571416326531,0.6249999739583344,0.5769230547337286,0.5999994768004163
camera,ecost,0.4999999750000012,0.6666666222222252,0.6666666222222252,0.6666661222226002
camera,jr,0.29113923682102233,0.3108108066106648,0.8214285420918378,0.450979985006115
camera,newegg,0.4230769068047343,0.6470587854671302,0.5499999725000013,0.5945940657418335
camera,onsale,0.9999999333333378,0.9999999333333378,0.9999999333333378,0.9999994333335878
camera,pcnation,0.599999976000001,0.9999999333333378,0.599999976000001,0.7499994937502917
camera,thenerds,0.33333332222222256,0.9090908264462886,0.3448275743162905,0.49999957625030905
job,careerbuilder,0.6666666222222252,0.99999990000001,0.6666666222222252,0.79999945600029
job,dice,0.9999999500000024,0.9999999500000024,0.9999999500000024,0.9999994500002525
job,hotjobs,0.4482758466111777,0.7647058373702448,0.5199999792000009,0.6190471077101253
job,job,0.8333332986111125,0.9999999500000024,0.8333332986111125,0.9090903719010984
job,jobcircle,0.9999999500000024,0.9999999500000024,0.9999999500000024,0.9999994500002525
job,jobtarget,0.9999999500000024,0.9999999500000024,0.9999999500000024,0.9999994500002525
job,monster,0.9999999333333378,0.9999999333333378,0.9999999333333378,0.9999994333335878
job,nettemps,0.21428571122448986,0.23076922721893497,0.7499999625000018,0.35294080830485874
job,rightitjobs,0.9999999500000024,0.9999999500000024,0.9999999500000024,0.9999994500002525
job,techcentric,0.9999999500000024,0.9999999500000024,0.9999999500000024,0.9999994500002525
movie,allmovie,0.1360544208431672,0.13698630043160068,0.9523809070294805,0.23952073534387905
movie,amctv,0.5555555349794246,0.7142856802721105,0.7142856802721105,0.7142851802724605
movie,boxofficemojo,0.655172391200952,0.6785714043367356,0.9499999525000024,0.7916661475697432
movie,hollywood,0.8214285420918378,0.999999956521741,0.8214285420918378,0.9019602537488312
movie,iheartmovies,0.9999999615384629,0.9999999615384629,0.9999999615384629,0.9999994615387128
movie,imdb,0.9999999629629643,0.9999999629629643,0.9999999629629643,0.9999994629632142
movie,metacritic,0.9999999444444475,0.9999999444444475,0.9999999444444475,0.9999994444446976
movie,msn,0.9130434385633287,0.9999999523809546,0.9130434385633287,0.9545449121903454
movie,rottentomatoes,0.8214285420918378,0.999999956521741,0.8214285420918378,0.9019602537488312
movie,yahoo,0.9999999545454565,0.9999999545454565,0.9999999545454565,0.9999994545457065
nbaplayer,espn,0.9999999500000024,0.9999999500000024,0.9999999500000024,0.9999994500002525
nbaplayer,fanhouse,0.9523809070294805,0.9999999500000024,0.9523809070294805,0.9756092088045414
nbaplayer,foxsports,0.6818181508264477,0.8823528892733594,0.7499999625000018,0.8108102702705765
nbaplayer,msnca,0.9999999500000024,0.9999999500000024,0.9999999500000024,0.9999994500002525
nbaplayer,nba,0.9999999333333378,0.9999999333333378,0.9999999333333378,0.9999994333335878
nbaplayer,si,0.9999999500000024,0.9999999500000024,0.9999999500000024,0.9999994500002525
nbaplayer,slam,0.9999999500000024,0.9999999500000024,0.9999999500000024,0.9999994500002525
nbaplayer,usatoday,0.238095232426304,0.3124999902343753,0.4999999750000012,0.3846148964502853
nbaplayer,wiki,0.5769230547337286,0.7142856802721105,0.7499999625000018,0.7317067816779158
nbaplayer,yahoo,0.9999999500000024,0.9999999500000024,0.9999999500000024,0.9999994500002525
restaurant,fodors,0.9999999500000024,0.9999999500000024,0.9999999500000024,0.9999994500002525
restaurant,frommers,0.9999999500000024,0.9999999500000024,0.9999999500000024,0.9999994500002525
restaurant,gayot,0.5135134996347703,0.9499999525000024,0.5277777631172844,0.67857094515337
restaurant,opentable,0.13157894650277008,0.1360544208431672,0.7999999680000013,0.23255788838587346
restaurant,pickarestaurant,0.9999999600000016,0.9999999600000016,0.9999999600000016,0.9999994600002514
restaurant,restaurantica,0.5833333171296301,0.9999999523809546,0.5833333171296301,0.7368416140353802
restaurant,tripadvisor,0.48648647333820344,0.9999999444444475,0.48648647333820344,0.654544990413516
restaurant,urbanspoon,0.9999999756097567,0.9999999756097567,0.9999999756097567,0.9999994756100067
restaurant,usdiners,0.07784431091111191,0.08387096720083247,0.5199999792000009,0.14444420364236563
restaurant,zagat,0.8928571109693889,0.9999999600000016,0.8928571109693889,0.9433956924174948
university,collegeboard,0.5833333211805558,0.5833333211805558,0.9999999642857155,0.7368416204989077
university,collegenavigator,0.9999999500000024,0.9999999500000024,0.9999999500000024,0.9999994500002525
university,collegeprowler,0.9999999500000024,0.9999999500000024,0.9999999500000024,0.9999994500002525
university,collegetoolkit,0.8666666088888928,0.9999999230769291,0.8666666088888928,0.9285708647961893
university,ecampustours,0.9999999500000024,0.9999999500000024,0.9999999500000024,0.9999994500002525
university,embark,0.9999999500000024,0.9999999500000024,0.9999999500000024,0.9999994500002525
university,matchcollege,0.9999999600000016,0.9999999600000016,0.9999999600000016,0.9999994600002514
university,princetonreview,0.9999999333333378,0.9999999333333378,0.9999999333333378,0.9999994333335878
university,studentaid,0.6486486311176046,0.8275861783590973,0.7499999765625008,0.7868847213117924
university,usnews,0.9999999500000024,0.9999999500000024,0.9999999500000024,0.9999994500002525
overall,overall,0.6190836801896692,0.6916243651896682,0.8551255225653108,0.7647329009264537
