category,site,accuracy,precision,recall,f1
auto,aol,0.7499999875000002,0.7499999875000002,0.9999999777777784,0.8571423510206881
auto,autobytel,0.5945945865595327,0.9999999772727278,0.5945945865595327,0.7457622315429527
auto,automotive,0.5172413733650417,0.6249999913194446,0.7499999875000002,0.6818176756201954
auto,autoweb,0.6666666592592594,0.9999999833333336,0.6666666592592594,0.799999509333621
auto,carquotes,0.7999999893333335,0.7999999893333335,0.9999999833333336,0.8888883818932786
auto,cars,0.42975206256403253,0.4905660331078676,0.7761193914012031,0.6011555878248921
auto,kbb,0.7999999893333335,0.9999999833333336,0.7999999893333335,0.8888883818932786
auto,motortrend,0.7499999906250001,0.9230769088757399,0.7999999893333335,0.8571423474492685
auto,msn,0.8333333240740742,0.9999999866666669,0.8333333240740742,0.9090904022041273
auto,yahoo,0.6666666592592594,0.6666666592592594,0.9999999833333336,0.799999509333621
book,abebooks,0.99999999270073,0.99999999270073,0.99999999270073,0.99999949270098
book,amazon,0.16010498645641735,0.16666666621129325,0.8026315683864268,0.2760178135380982
book,barnesandnoble,0.8709677349115506,0.8709677349115506,0.9999999907407409,0.9310339771108487
book,bookdepository,0.9866666535111113,0.9999999864864867,0.9866666535111113,0.9932880772940674
book,booksamillion,0.9882352824913496,0.9882352824913496,0.9999999880952383,0.9940823284901505
book,borders,0.9638554100740312,0.9638554100740312,0.9999999875000002,0.9815945801500533
book,buy,0.9999999861111113,0.9999999861111113,0.9999999861111113,0.9999994861113612
book,christianbook,0.9268292569898872,0.9268292569898872,0.9999999868421054,0.9620248049994583
book,deepdiscount,0.9999999931034483,0.9999999931034483,0.9999999931034483,0.9999994931036983
book,waterstones,0.9999999863013701,0.9999999863013701,0.9999999863013701,0.9999994863016202
camera,amazon,0.5999999920000001,0.7499999875000002,0.7499999875000002,0.7499994875003336
camera,beachaudio,0.589041087821355,0.9999999767441866,0.589041087821355,0.741378831005049
camera,buy,0.6164383477200227,0.7499999875000002,0.7758620555885852,0.7627113516234246
camera,compsource,0.4190476150566894,0.5945945865595327,0.5866666588444446,0.5906035189410117
camera,ecost,0.4999999916666668,0.6666666518518523,0.6666666518518523,0.6666661518522273
camera,jr,0.22097378194391842,0.23790322484716442,0.7564102467126892,0.3619628239305086
camera,newegg,0.4556961967633393,0.6315789362880888,0.6206896444708683,0.626086445671477
camera,onsale,0.9999999777777784,0.9999999777777784,0.9999999777777784,0.9999994777780282
camera,pcnation,0.6081080998904311,0.9999999777777784,0.6081080998904311,0.756302037991959
camera,thenerds,0.33707864789799274,0.937499970703126,0.34482758224336113,0.5042012790060232
job,careerbuilder,0.6444444301234571,0.9999999655172426,0.6444444301234571,0.7837832859754534
job,dice,0.9999999833333336,0.9999999833333336,0.9999999833333336,0.9999994833335837
job,hotjobs,0.4767441805029747,0.7884615232988169,0.5466666593777779,0.6456687975699571
job,job,0.8108107998539081,0.9999999833333336,0.8108107998539081,0.8955218801517546
job,jobcircle,0.9999999833333336,0.9999999833333336,0.9999999833333336,0.9999994833335837
job,jobtarget,0.9999999833333336,0.9999999833333336,0.9999999833333336,0.9999994833335837
job,monster,0.9999999777777784,0.9999999777777784,0.9999999777777784,0.9999994777780282
job,nettemps,0.21428571326530613,0.23076922958579882,0.7499999875000002,0.3529408138411952
job,rightitjobs,0.9999999833333336,0.9999999833333336,0.9999999833333336,0.9999994833335837
job,techcentric,0.9999999833333336,0.9999999833333336,0.9999999833333336,0.9999994833335837
movie,allmovie,0.15909090868916437,0.16030534310354874,0.9545454400826449,0.27450955649558373
movie,amctv,0.5555555486968451,0.714285702947846,0.714285702947846,0.7142852029481961
movie,boxofficemojo,0.6413043408553876,0.6629213408660524,0.9516128878772115,0.7814564592784015
movie,hollywood,0.8124999898437502,0.9999999846153849,0.8124999898437502,0.8965512171227463
movie,iheartmovies,0.9999999876543212,0.9999999876543212,0.9999999876543212,0.9999994876545711
movie,imdb,0.9999999887640451,0.9999999887640451,0.9999999887640451,0.9999994887642951
movie,metacritic,0.9999999824561407,0.9999999824561407,0.9999999824561407,0.9999994824563907
movie,msn,0.9041095766560332,0.9999999848484851,0.9041095766560332,0.9496397753742075
movie,rottentomatoes,0.8333333240740742,0.9999999866666669,0.8333333240740742,0.9090904022041273
movie,yahoo,0.999999983870968,0.999999983870968,0.999999983870968,0.999999483871218
nbaplayer,espn,0.9999999833333336,0.9999999833333336,0.9999999833333336,0.9999994833335837
nbaplayer,fanhouse,0.9836065412523518,0.9999999833333336,0.9836065412523518,0.9917350208321627
nbaplayer,foxsports,0.6818181714876035,0.882352923875433,0.7499999875000002,0.8108102994889823
nbaplayer,msnca,0.9999999833333336,0.9999999833333336,0.9999999833333336,0.9999994833335837
nbaplayer,nba,0.9999999777777784,0.9999999777777784,0.9999999777777784,0.9999994777780282
nbaplayer,si,0.9999999833333336,0.9999999833333336,0.9999999833333336,0.9999994833335837
nbaplayer,slam,0.9999999833333336,0.9999999833333336,0.9999999833333336,0.9999994833335837
nbaplayer,usatoday,0.23999999808000003,0.31578947036011085,0.4999999916666668,0.3870962946936092
nbaplayer,wiki,0.5624999929687501,0.6923076816568049,0.7499999875000002,0.7199994892803462
nbaplayer,yahoo,0.9999999833333336,0.9999999833333336,0.9999999833333336,0.9999994833335837
restaurant,fodors,0.9999999833333336,0.9999999833333336,0.9999999833333336,0.9999994833335837
restaurant,frommers,0.9999999833333336,0.9999999833333336,0.9999999833333336,0.9999994833335837
restaurant,gayot,0.5043478217013233,0.9354838558792927,0.5225225178151125,0.6705197635741059
restaurant,opentable,0.15561224450098918,0.1618037130986639,0.8026315683864268,0.2693153928534276
restaurant,pickarestaurant,0.9999999866666669,0.9999999866666669,0.9999999866666669,0.9999994866669168
restaurant,restaurantica,0.5794392469211286,0.999999983870968,0.5794392469211286,0.7337273374184511
restaurant,tripadvisor,0.4913793061087991,0.9999999824561407,0.4913793061087991,0.6589590881088186
restaurant,urbanspoon,0.9752066035106892,0.9999999915254238,0.9752066035106892,0.9874471905606426
restaurant,usdiners,0.06367041186578574,0.06896551710148982,0.453333327288889,0.11971808022385491
restaurant,zagat,0.8333333240740742,0.9999999866666669,0.8333333240740742,0.9090904022041273
university,collegeboard,0.5833333292824074,0.5833333292824074,0.9999999880952383,0.736841633425963
university,collegenavigator,0.9999999833333336,0.9999999833333336,0.9999999833333336,0.9999994833335837
university,collegeprowler,0.9999999833333336,0.9999999833333336,0.9999999833333336,0.9999994833335837
university,collegetoolkit,0.8666666474074078,0.999999974358975,0.8666666474074078,0.9285709090138724
university,ecampustours,0.9999999833333336,0.9999999833333336,0.9999999833333336,0.9999994833335837
university,embark,0.9999999833333336,0.9999999833333336,0.9999999833333336,0.9999994833335837
university,matchcollege,0.9999999866666669,0.9999999866666669,0.9999999866666669,0.9999994866669168
university,princetonreview,0.9999999777777784,0.9999999777777784,0.9999999777777784,0.9999994777780282
university,studentaid,0.6017699061790274,0.7816091864182853,0.7234042476233591,0.7513807079152307
university,usnews,0.9999999833333336,0.9999999833333336,0.9999999833333336,0.9999994833335837
overall,overall,0.6112435687525105,0.6838410781013841,0.8520202902130452,0.7587222473104579
