category,site,accuracy,precision,recall,f1
auto,aol,0.9999999890109892,0.9999999890109892,0.9999999890109892,0.9999994890112391
auto,autobytel,0.31127450904099385,0.3377659565484948,0.7987421333412444,0.474765935624439
auto,automotive,0.499999998046875,0.499999998046875,0.9999999921875001,0.6666662187502957
auto,autoweb,0.6666666631944445,0.9999999921875001,0.6666666631944445,0.7999995150002879
auto,carquotes,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
auto,cars,0.7947019814920399,0.9999999916666668,0.7947019814920399,0.885608356095644
auto,kbb,0.7999999950000001,0.9999999921875001,0.7999999950000001,0.8888883888891632
auto,motortrend,0.7999999950000001,0.9999999921875001,0.7999999950000001,0.8888883888891632
auto,msn,0.20811518297367124,0.21662125311087022,0.8412698368186782,0.34452838430463295
auto,yahoo,0.49999999739583334,0.59999999625,0.749999994140625,0.6666661682102423
book,abebooks,0.8794466385781687,0.8811881170669542,0.9977578452965071,0.9358564925959169
book,amazon,0.097650513878377,0.09999999992481202,0.8060606011753904,0.17792622479322717
book,barnesandnoble,0.9810725521101812,0.9810725521101812,0.999999996784566,0.9904453567642185
book,bookdepository,0.9698795122296415,0.9698795122296415,0.99999999378882,0.9847089742167902
book,booksamillion,0.9999999949238579,0.9999999949238579,0.9999999949238579,0.999999494924108
book,borders,0.9819277049281464,0.9819277049281464,0.9999999938650307,0.9908809529847961
book,buy,0.9540229830228565,0.9540229830228565,0.9999999939759037,0.976470082768422
book,christianbook,0.7745664695111765,0.9503546031889745,0.8072289107998258,0.8729636670100122
book,deepdiscount,0.9999999968152866,0.9999999968152866,0.9999999968152866,0.9999994968155366
book,waterstones,0.9999999941860466,0.9999999941860466,0.9999999941860466,0.9999994941862965
camera,amazon,0.0,0.0,0.0,0.0
camera,beachaudio,0.3206521721703686,0.648351641226905,0.38815789218317176,0.4855962353304318
camera,buy,0.3999999986885246,0.46564885318454635,0.7393939349127641,0.5714280945547429
camera,compsource,0.0,0.0,0.0,0.0
camera,ecost,0.9999999895833335,0.9999999895833335,0.9999999895833335,0.9999994895835835
camera,jr,0.48160534955984835,0.5496183185129072,0.7955801061017673,0.6501123805984769
camera,newegg,0.09467455593291552,0.12260536351492198,0.2935779789580002,0.1729725564217428
camera,onsale,0.9999999895833335,0.9999999895833335,0.9999999895833335,0.9999994895835835
camera,pcnation,0.3422459874746204,0.6666666597222223,0.41290322314255984,0.5099596829261049
camera,thenerds,0.058041112419564014,0.06161745824029688,0.49999999739583334,0.10971409023512266
job,careerbuilder,0.4039735072584536,0.5258620644322236,0.6354166600477431,0.5754711971346382
