category,site,accuracy,precision,recall,f1
auto,aol,0.9999999890109892,0.9999999890109892,0.9999999890109892,0.9999994890112391
auto,autobytel,0.31127450904099385,0.3377659565484948,0.7987421333412444,0.474765935624439
auto,automotive,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
auto,autoweb,0.12499999987792967,0.13333333319444443,0.6666666631944445,0.22222194405898843
auto,carquotes,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
auto,cars,0.21162790648458626,0.24594594528122718,0.6026490026314636,0.34932780197586766
auto,kbb,0.7999999950000001,0.9999999921875001,0.7999999950000001,0.8888883888891632
auto,motortrend,0.04819277106014419,0.049792531094505946,0.59999999625,0.09195388138774808
auto,msn,0.6755319113003622,0.9999999921259843,0.6755319113003622,0.8063487199801308
auto,yahoo,0.6442952976892933,0.8205128134998905,0.749999994140625,0.7836729639986518
book,abebooks,0.9921052605470915,0.9947229525205199,0.9973544947159934,0.9960364854805502
book,amazon,0.9428571374693878,0.9428571374693878,0.999999993939394,0.9705877300175584
book,barnesandnoble,0.9810725521101812,0.9810725521101812,0.999999996784566,0.9904453567642185
book,bookdepository,0.9698795122296415,0.9698795122296415,0.99999999378882,0.9847089742167902
book,booksamillion,0.9947089894459842,0.9999999946808511,0.9947089894459842,0.9973469748189014
book,borders,0.7891566217520686,0.9776119330028961,0.8036809766645339,0.8821543809818105
book,buy,0.9940119700957367,0.9940119700957367,0.9999999939759037,0.996996491013787
book,christianbook,0.9595375667078754,0.9595375667078754,0.9999999939759037,0.9793505268839404
book,deepdiscount,0.9999999968152866,0.9999999968152866,0.9999999968152866,0.9999994968155366
book,waterstones,0.9999999941860466,0.9999999941860466,0.9999999941860466,0.9999994941862965
camera,amazon,0.6483516447892766,0.7866666614222223,0.7866666614222223,0.7866661614225401
camera,beachaudio,0.5321637395779898,0.8272727197520662,0.5986842065876039,0.6946559960961401
camera,buy,0.6931818142432852,0.9172932261857653,0.7393939349127641,0.8187914465792813
camera,compsource,0.36781609054476594,0.49999999739583334,0.5818181782920111,0.5378146258978774
camera,ecost,0.9999999895833335,0.9999999895833335,0.9999999895833335,0.9999994895835835
camera,jr,0.45911949541157393,0.5159010582476995,0.8066298297976252,0.629309866277485
camera,newegg,0.5095541368818208,0.7142857079081634,0.63999999488,0.6751049810397315
camera,onsale,0.749999994140625,0.749999994140625,0.9999999895833335,0.8571423596941573
camera,pcnation,0.3422459874746204,0.6666666597222223,0.41290322314255984,0.5099596829261049
camera,thenerds,0.6048387072385536,0.9615384553747535,0.6198347081825012,0.7537683637789937
